experiment_id,feature_count,sampling_seed,accuracy,precision,recall,f1_score,roc_auc,true_positives,true_negatives,false_positives,false_negatives,training_time_seconds,prediction_time_seconds
Random_30,10,20260932,0.9724004820363095,0.999497149160158,0.9673190814648525,0.9831448909134787,0.9964697575513072,246470,51280,124,8327,2.537542799982475,0.3652050000091549
Random_31,12,20260933,0.9694187804742637,0.9997068129344361,0.9635317527286428,0.9812859980734411,0.9988867482812015,245505,51332,72,9292,5.965735000005225,1.0439612000191119
Random_32,12,20260934,0.9666656869180702,0.9985649873213368,0.9613221505747713,0.9795897146719297,0.993690785776484,244942,51052,352,9855,5.761577600002056,1.0588393000070937
Random_33,12,20260935,0.9726846091292974,0.9994406365394047,0.9677154754569324,0.9833222334329002,0.9943399562539261,246571,51266,138,8226,6.126422600005753,1.0245585000084247
Random_34,12,20260936,0.9967080447157259,0.9996849761172519,0.9963578849044533,0.9980186576405514,0.9990818742149018,253869,51324,80,928,4.894855699996697,0.9221531999937724
Random_35,12,20260937,0.9701862502081966,0.9997884217893006,0.9643755617216844,0.981762753985964,0.9936055487651552,245720,51352,52,9077,9.760215099988272,0.9708218999730889
Random_36,12,20260938,0.9724364061515148,0.9996552101798181,0.9672091900611075,0.9831645801916525,0.9984261935296554,246442,51319,85,8355,7.052531499997713,0.884589599998435
Random_37,12,20260939,0.9293470628769991,0.9995843278753155,0.9154738870551851,0.9556820183794459,0.9974576827689601,233260,51307,97,21537,5.897648500016658,1.0426495000137947
Random_38,12,20260940,0.9698008824269025,0.9956640748007655,0.9679234841854496,0.9815978268440482,0.9966896948911023,246624,50330,1074,8173,6.630143599992152,1.0346327000006568
Random_39,12,20260941,0.9725931659269564,0.9995580298674495,0.9674917679564516,0.9832635315703402,0.9952504961367311,246514,51295,109,8283,8.101196000003256,0.8296732000017073
Random_40,12,20260942,0.9396376889690106,0.999134012605397,0.9282644615124982,0.9623963167392644,0.9931291294858975,236519,51199,205,18278,4.748215200001141,1.0238163999747485
Random_41,15,20260943,0.972152279058527,0.9997443140310719,0.9667813985251004,0.9829865939867476,0.9988994469962816,246333,51341,63,8464,9.725363499979721,0.9939024999912363
Random_42,15,20260944,0.9727923814749135,0.999691831090999,0.9676016593601966,0.9833850203922898,0.9949053716344551,246542,51328,76,8255,7.262000400020042,1.0959127999958582
Random_43,15,20260945,0.9203268441317958,0.9982354238658923,0.9058544645345118,0.9498039151135564,0.9898640946310615,230809,50996,408,23988,6.010907400021097,0.933086800010642
Random_44,15,20260946,0.9379198630964628,0.9998812774545887,0.925505402339902,0.9612568048736245,0.9931046391695305,235816,51376,28,18981,6.765282400010619,0.8834333999839146
Random_45,15,20260947,0.9752874745673593,0.9998301754045464,0.9704666852435468,0.9849296271143233,0.9991743205705551,247272,51362,42,7525,6.506593700003577,1.0517438999959268
Random_46,15,20260948,0.9728054447895337,0.9996958884113211,0.9676134334391692,0.983393064056464,0.9948790774359205,246545,51329,75,8252,7.229285699984757,0.9882223999884445
Random_47,15,20260949,0.9406892857959315,0.9992742003544602,0.9293986977868656,0.9630706600756034,0.9896801131946205,236808,51232,172,17989,7.515128300001379,1.372107099974528
Random_48,15,20260950,0.9903527421530302,0.9991517059035719,0.9892463412049592,0.9941743513690472,0.9975052921947111,252057,51190,214,2740,6.8643677000072785,0.9770419999840669
Random_49,15,20260951,0.9661856101057802,0.9905007283978858,0.9686534770817553,0.9794552893601655,0.989037889188614,246810,49037,2367,7987,4.5938883000053465,0.9603027000266593
Random_50,15,20260952,0.9727172674158477,0.9994487566625458,0.9677468730008595,0.9833423726650609,0.9960556200209938,246579,51268,136,8218,8.067631899990374,1.1266653999919072
Random_51,20,20260953,0.9721751398591122,0.9989788516944174,0.9675506383513149,0.9830136090498387,0.9981010040764929,246529,51152,252,8268,8.481924799998524,1.0149308000109158
Random_52,20,20260954,0.9767832240913649,0.9997901465745463,0.9723034415632837,0.9858552415592065,0.9989541376511357,247740,51352,52,7057,7.355086900002789,0.9571914999978617
