feature_name,sets_with_feature,sets_without_feature,mean_f1_with_feature,median_f1_with_feature,mean_f1_without_feature,median_f1_without_feature,mean_f1_difference_with_minus_without
Bwd Header Length,20,50,0.9623773428319804,0.9694386700352349,0.9618977704215763,0.981780804166822,0.00047957241040408327
Active Max,19,51,0.961903990352356,0.9751947832659263,0.9620835208043854,0.9809705290140946,-0.00017953045202945273
Active Std,13,57,0.9613217467849283,0.9741024745900092,0.9621974152546378,0.9809705290140946,-0.0008756684697094341
Down/Up Ratio,18,52,0.9604428981442459,0.9806907445699338,0.9625858309831153,0.9802421655376368,-0.00214293283886946
Fwd IAT Min,11,59,0.9592335479245012,0.9828382207788072,0.9625570567889647,0.9800130341085828,-0.0033235088644635313
Packet Length Std,14,56,0.9590950648863548,0.9720681345652445,0.9627697226662403,0.9813401364633741,-0.003674657779885515
Subflow Bwd Bytes,15,55,0.9580111693861426,0.9741024745900092,0.9631321424895688,0.9809705290140946,-0.005120973103426185
Fwd IAT Total,12,58,0.9569337423077516,0.97728688577835,0.9630901805176794,0.9804917815613388,-0.006156438209927728
SYN Flag Count,17,53,0.9567274893511095,0.9641266357798912,0.9637371331839539,0.9818518644209904,-0.007009643832844414
Bwd IAT Total,11,59,0.9556641907052478,0.9751947832659263,0.9632225301688253,0.9804712969666908,-0.007558339463577535
Bwd Packet Length Min,13,57,0.9533978956403265,0.9751947832659263,0.9640046093753365,0.9817097439126536,-0.010606713735009987
Subflow Bwd Packets,11,59,0.9471248764065859,0.9741024745900092,0.9648146057160335,0.9818518644209904,-0.017689729309447566
Active Mean,13,57,0.9461903356955719,0.9745644739489036,0.9656484388364207,0.9804712969666908,-0.019458103140848837
