feature_name,success_group,successful_set_count,overall_sets_with_feature,successful_sets_with_feature,overall_frequency,successful_frequency,enrichment_ratio,successful_appearance_percentage
Fwd Header Length,beats_baseline_65,13,12,2,0.17142857142857143,0.15384615384615385,0.8974358974358975,15.384615384615385
Active Mean,beats_baseline_65,13,13,2,0.18571428571428572,0.15384615384615385,0.8284023668639053,15.384615384615385
Avg Bwd Segment Size,beats_baseline_65,13,13,2,0.18571428571428572,0.15384615384615385,0.8284023668639053,15.384615384615385
Packet Length Mean,beats_baseline_65,13,14,2,0.2,0.15384615384615385,0.7692307692307693,15.384615384615385
Fwd Packets/s,beats_baseline_65,13,15,2,0.21428571428571427,0.15384615384615385,0.7179487179487181,15.384615384615385
Subflow Bwd Bytes,beats_baseline_65,13,15,2,0.21428571428571427,0.15384615384615385,0.7179487179487181,15.384615384615385
Bwd IAT Mean,beats_baseline_65,13,16,2,0.22857142857142856,0.15384615384615385,0.6730769230769231,15.384615384615385
Fwd Packet Length Min,beats_baseline_65,13,21,2,0.3,0.15384615384615385,0.5128205128205129,15.384615384615385
Total Backward Packets,beats_baseline_65,13,10,1,0.14285714285714285,0.07692307692307693,0.5384615384615385,7.6923076923076925
Active Min,beats_baseline_65,13,11,1,0.15714285714285714,0.07692307692307693,0.48951048951048953,7.6923076923076925
Subflow Bwd Packets,beats_baseline_65,13,11,1,0.15714285714285714,0.07692307692307693,0.48951048951048953,7.6923076923076925
Active Std,beats_baseline_65,13,13,1,0.18571428571428572,0.07692307692307693,0.41420118343195267,7.6923076923076925
Bwd Packet Length Min,beats_baseline_65,13,13,1,0.18571428571428572,0.07692307692307693,0.41420118343195267,7.6923076923076925
Packet Length Min,beats_baseline_65,13,13,1,0.18571428571428572,0.07692307692307693,0.41420118343195267,7.6923076923076925
Flow Bytes/s,beats_baseline_65,13,14,1,0.2,0.07692307692307693,0.38461538461538464,7.6923076923076925
RST Flag Count,beats_baseline_65,13,15,1,0.21428571428571427,0.07692307692307693,0.35897435897435903,7.6923076923076925
Idle Min,beats_baseline_65,13,16,1,0.22857142857142856,0.07692307692307693,0.33653846153846156,7.6923076923076925
SYN Flag Count,beats_baseline_65,13,17,1,0.24285714285714285,0.07692307692307693,0.31674208144796384,7.6923076923076925
Idle Mean,beats_baseline_65,13,18,1,0.2571428571428571,0.07692307692307693,0.2991452991452992,7.6923076923076925
Bwd Packet Length Std,beats_baseline_65,13,10,0,0.14285714285714285,0.0,0.0,0.0
Fwd IAT Std,beats_top_10,1,11,1,0.15714285714285714,1.0,6.363636363636364,100.0
Fwd Header Length,beats_top_10,1,12,1,0.17142857142857143,1.0,5.833333333333333,100.0
Active Mean,beats_top_10,1,13,1,0.18571428571428572,1.0,5.384615384615384,100.0
Idle Max,beats_top_10,1,14,1,0.2,1.0,5.0,100.0
Flow IAT Mean,beats_top_10,1,17,1,0.24285714285714285,1.0,4.11764705882353,100.0
Init Fwd Win Bytes,beats_top_10,1,17,1,0.24285714285714285,1.0,4.11764705882353,100.0
Fwd IAT Max,beats_top_10,1,18,1,0.2571428571428571,1.0,3.8888888888888893,100.0
Protocol,beats_top_10,1,19,1,0.2714285714285714,1.0,3.68421052631579,100.0
Total Fwd Packets,beats_top_10,1,19,1,0.2714285714285714,1.0,3.68421052631579,100.0
Bwd Header Length,beats_top_10,1,20,1,0.2857142857142857,1.0,3.5,100.0
Bwd Packets/s,beats_top_10,1,20,1,0.2857142857142857,1.0,3.5,100.0
Fwd Packet Length Max,beats_top_10,1,20,1,0.2857142857142857,1.0,3.5,100.0
ACK Flag Count,beats_top_10,1,17,0,0.24285714285714285,0.0,0.0,0.0
Active Max,beats_top_10,1,19,0,0.2714285714285714,0.0,0.0,0.0
Active Min,beats_top_10,1,11,0,0.15714285714285714,0.0,0.0,0.0
Active Std,beats_top_10,1,13,0,0.18571428571428572,0.0,0.0,0.0
Avg Bwd Segment Size,beats_top_10,1,13,0,0.18571428571428572,0.0,0.0,0.0
Avg Fwd Segment Size,beats_top_10,1,16,0,0.22857142857142856,0.0,0.0,0.0
Avg Packet Size,beats_top_10,1,14,0,0.2,0.0,0.0,0.0
Bwd IAT Max,beats_top_10,1,20,0,0.2857142857142857,0.0,0.0,0.0
Bwd IAT Mean,beats_top_10,1,16,0,0.22857142857142856,0.0,0.0,0.0
Bwd IAT Min,beats_top_10,1,16,0,0.22857142857142856,0.0,0.0,0.0
Bwd IAT Std,beats_top_10,1,13,0,0.18571428571428572,0.0,0.0,0.0
Bwd IAT Total,beats_top_10,1,11,0,0.15714285714285714,0.0,0.0,0.0
Bwd Packet Length Max,beats_top_10,1,20,0,0.2857142857142857,0.0,0.0,0.0
Bwd Packet Length Mean,beats_top_10,1,12,0,0.17142857142857143,0.0,0.0,0.0
Bwd Packet Length Min,beats_top_10,1,13,0,0.18571428571428572,0.0,0.0,0.0
Bwd Packet Length Std,beats_top_10,1,10,0,0.14285714285714285,0.0,0.0,0.0
Bwd Packets Length Total,beats_top_10,1,20,0,0.2857142857142857,0.0,0.0,0.0
CWE Flag Count,beats_top_10,1,13,0,0.18571428571428572,0.0,0.0,0.0
