model,feature_count,feature_reduction_pct,accuracy,precision,recall,f1_score,roc_auc,true_negatives,false_positives,false_negatives,true_positives,training_time_seconds,test_prediction_time_seconds,experiment_type,f1_delta_vs_baseline_65,f1_delta_vs_top_10
Random_5_06,5,92.3076923076923,0.9328414995378852,0.9461903909235335,0.9747249771386634,0.9602457479343796,0.9439967372861455,37280,14124,6440,248357,0.9551370000117458,0.3135226999875158,random_feature_search,-0.02317111600811883,-0.025763605687015634
Random_5_07,5,92.3076923076923,0.7717447036423787,0.988177397126458,0.7344827450872655,0.8426493763789454,0.9140179881992151,49165,2239,67653,187144,0.965151899959892,0.27909520000685006,random_feature_search,-0.14076748756355295,-0.14335997724244975
Random_5_08,5,92.3076923076923,0.689318454217981,0.9800425726380604,0.639666087120335,0.7740898264311887,0.8316630607077531,48085,3319,91812,162985,1.401945399993565,0.3557431999943219,random_feature_search,-0.20932703751130965,-0.21191952719020646
Random_5_09,5,92.3076923076923,0.9723776212357242,0.9986437741134938,0.9681197188349941,0.9831448806909443,0.988055217763936,51069,335,8123,246674,0.9709287000005133,0.27671929995995015,random_feature_search,-0.00027198325155408654,-0.00286447293045089
Random_5_10,5,92.3076923076923,0.8803400380795621,0.9821213098958218,0.8720746319619148,0.9238323313459892,0.9113712155283935,47359,4045,32595,222202,0.9409424999612384,0.2789762000320479,random_feature_search,-0.0595845325965092,-0.062177022275406
Random_8_01,8,87.6923076923077,0.9703103516970879,0.9991264991711899,0.9651644250128534,0.9818518644209905,0.9938498278061335,51189,215,8876,245921,1.5070859999977984,0.2924219000269659,random_feature_search,-0.0015649995215079038,-0.004157489200404707
Random_8_02,8,87.6923076923077,0.9716232148164115,0.9994439528861686,0.966436025541902,0.9826628809267747,0.9891829742559559,51267,137,8552,246245,1.077177600003779,0.30219479999504983,random_feature_search,-0.0007539830157237137,-0.003346472694620517
Random_8_03,8,87.6923076923077,0.9397389296573166,0.9978220482856529,0.9296106312083737,0.9625093462501219,0.9958726180017516,50887,517,17935,236862,0.9473876999691129,0.31773200002498925,random_feature_search,-0.02090751769237653,-0.023500007371273335
Random_8_04,8,87.6923076923077,0.9353235293157109,0.9996980458034745,0.9225540332107521,0.9595780638945813,0.9971159395770588,51333,71,19733,235064,1.9585360999917611,0.33902600000146776,random_feature_search,-0.023838800047917053,-0.026431289726813856
Random_8_05,8,87.6923076923077,0.9726944066152625,0.9997282718903354,0.9674485963335518,0.9833235932959289,0.9872493169043752,51337,67,8294,246503,1.2519029999966733,0.29582969995681196,random_feature_search,-9.32706465694988e-05,-0.002685760325466302
Random_8_06,8,87.6923076923077,0.9733312432029941,0.9994694057749713,0.9684650918181925,0.9837230162052263,0.9945176697409647,51273,131,8035,246762,1.5720995999872684,0.32199590001255274,random_feature_search,0.00030615226272789897,-0.0022863374161689043
Random_8_07,8,87.6923076923077,0.9722698488901081,0.9986032162464169,0.9680294508962036,0.9830786798540434,0.9881830296087558,51059,345,8146,246651,0.8617345999809913,0.2918925000121817,random_feature_search,-0.0003381840884549847,-0.002930673767351788
Random_8_08,8,87.6923076923077,0.9418290599965382,0.9998228363894056,0.9302582055518707,0.9637868850459271,0.9977202039133659,51362,42,17770,237027,1.1695585999987088,0.3171882000169717,random_feature_search,-0.019629978896571254,-0.022222468575468057
Random_8_09,8,87.6923076923077,0.974673498780213,0.9995793731041456,0.9699721739266945,0.9845532390393729,0.9970393717975088,51300,104,7651,247146,1.0695074999821372,0.3450633999891579,random_feature_search,0.0011363750968744757,-0.0014561145820223276
Random_8_10,8,87.6923076923077,0.9726976724439176,0.9994487432562249,0.9677233248429141,0.9833302094092593,0.9969237560560276,51268,136,8224,246573,1.4910323000513017,0.3509224999579601,random_feature_search,-8.665453323908334e-05,-0.0026791442121358866
Random_10_01,10,84.61538461538461,0.9294744301945455,0.9994731160686748,0.915728992099593,0.9557701563764094,0.9876536317078181,51281,123,21472,233325,1.5722478000097908,0.3519722000346519,random_feature_search,-0.027646707566089,-0.030239197244985805
Random_10_02,10,84.61538461538461,0.8889095724703707,0.9997510084159156,0.8667135013363579,0.9284909436437329,0.9866760165969612,51349,55,33961,220836,1.5117157999775372,0.35258569999132305,random_feature_search,-0.05492592029876553,-0.05751840997766233
Random_10_03,10,84.61538461538461,0.9735696486948116,0.999323990641116,0.9688928833541997,0.9838731854095469,0.987784040252719,51237,167,7926,246871,1.5403619999997318,0.3490792000084184,random_feature_search,0.00045632146704854826,-0.002136168211848255
Random_10_04,10,84.61538461538461,0.9728609638766692,0.9994731445569753,0.9678960113345133,0.983431164563827,0.9859394259194556,51274,130,8180,246617,2.19537070003571,0.38045919995056465,random_feature_search,1.4300621328566798e-05,-0.0025781890575682365
Random_10_05,10,84.61538461538461,0.9133249074954033,0.9981406230222296,0.897510567235878,0.9451546374709138,0.9898990625660219,50978,426,26114,228683,1.28801930003101,0.33265499997651204,random_feature_search,-0.038262226471584615,-0.04085471615048142
Random_10_06,10,84.61538461538461,0.7369146410364433,0.9894052086376199,0.6912404777136308,0.8138740183314118,0.9421340870325032,49518,1886,78671,176126,1.316223900008481,0.38217689999146387,random_feature_search,-0.16954284561108657,-0.17213533528998337
Random_10_07,10,84.61538461538461,0.969833540713453,0.9906764285086282,0.97290391959089,0.9817097439126535,0.9693202488192932,49071,2333,6904,247893,1.4105532999965362,0.39234089996898547,random_feature_search,-0.0017071200298448552,-0.0042996097087416585
Random_10_08,10,84.61538461538461,0.9064895281204176,0.9991260593220339,0.8884013548040205,0.9405160826579857,0.9974171761411744,51206,198,28435,226362,1.6271993000409566,0.3418616000562906,random_feature_search,-0.04290078128451269,-0.04549327096340949
Random_10_09,10,84.61538461538461,0.9681124490122501,0.999690029977364,0.96197757430425,0.9804712969666908,0.9891709823505669,51328,76,9688,245109,1.8170250999974087,0.3474333999911323,random_feature_search,-0.002945566975807612,-0.005538056654704415
Random_10_10,10,84.61538461538461,0.9423450609240336,0.9996207700054356,0.9310666923079942,0.9641266357798911,0.9967718751175323,51314,90,17564,237233,1.7299505000119098,0.36332830000901595,random_feature_search,-0.01929022816260728,-0.021882717841504085
Random_12_01,12,81.53846153846153,0.9329035502823309,0.9947285721526686,0.9242651993547805,0.9582032163891404,0.9875509492666481,50156,1248,19297,235500,1.4041737000225112,0.3214432999957353,random_feature_search,-0.025213647553357976,-0.02780613723225478
Random_12_02,12,81.53846153846153,0.9753625886264251,0.998162512844277,0.9721817760805661,0.9850008549353629,0.9962627333172607,50948,456,7088,247709,1.472720300022047,0.34864209999796003,random_feature_search,0.001583990992864548,-0.0010084986860322553
Random_12_03,12,81.53846153846153,0.9726192925561967,0.9996552884829855,0.9674289728685973,0.983278152299653,0.9945696538281551,51319,85,8299,246498,1.882718900043983,0.3585742999566719,random_feature_search,-0.0001387116428454016,-0.002731201321742205
Random_12_04,12,81.53846153846153,0.9728152422754988,0.9998580369347335,0.9674682197985063,0.9833964973870029,0.9887678925057721,51369,35,8289,246508,1.7806969999801368,0.3680861000320874,random_feature_search,-2.0366555495532346e-05,-0.0026128562343923356
Random_12_05,12,81.53846153846153,0.973612104467327,0.9997852712267495,0.9684964893621196,0.9838921893066465,0.9990199429885921,51351,53,8027,246770,1.3617073000059463,0.35569629998644814,random_feature_search,0.00047532536414807147,-0.002117164314748732
Random_12_06,12,81.53846153846153,0.966169280962505,0.9997710079738295,0.9595638881148523,0.9792549069084224,0.995628584005948,51348,56,10303,244494,1.6026638000039384,0.30786379997152835,random_feature_search,-0.004161957034075958,-0.0067544467129727614
Random_12_07,12,81.53846153846153,0.9770412245551124,0.9998063446339308,0.9725977935376006,0.9860144033740501,0.9991893454014822,51356,48,6982,247815,1.8068844000226818,0.3216745000099763,random_feature_search,0.002597539431551721,5.049752654917583e-06
Random_12_08,12,81.53846153846153,0.9498597326592663,0.9998246551551384,0.9399090256164712,0.9689414858645627,0.9974206139886894,51362,42,15311,239486,1.398795000044629,0.36151169997174293,random_feature_search,-0.014475378077935641,-0.017067867756832444
Random_12_09,12,81.53846153846153,0.9390759664403447,0.9993909402360106,0.9273500080456206,0.9620236672658465,0.987404721049633,51260,144,18511,236286,1.3589492000173777,0.31056239997269586,random_feature_search,-0.02139319667665185,-0.023985686355548652
Random_12_10,12,81.53846153846153,0.9749445625585808,0.9997896686877349,0.9700938394094122,0.9847179229761008,0.9989085208064619,51352,52,7620,247177,1.5219268000219017,0.3437545000342652,random_feature_search,0.0013010590336024475,-0.0012914306452943558
Random_15_01,15,76.92307692307693,0.9311595977805428,0.9997134940047552,0.9175343508754028,0.9568626969460696,0.986779017608311,51337,67,21012,233785,1.2982799999881536,0.3515966000268236,random_feature_search,-0.026554166996428763,-0.029146656675325566
Random_15_02,15,76.92307692307693,0.9238049516494068,0.9998920161025587,0.9085311051542994,0.9520247248171445,0.9878869746487344,51379,25,23306,231491,1.2112015999737196,0.33694210002431646,random_feature_search,-0.03139213912535388,-0.03398462880425068
Random_15_03,15,76.92307692307693,0.9383770791081675,0.9970756291189806,0.92866870489056,0.9616571803630467,0.9809854668453633,50710,694,18175,236622,1.1224480000091717,0.32599179999670014,random_feature_search,-0.021759683579451683,-0.024352173258348486
Random_15_04,15,76.92307692307693,0.943556683355051,0.9997895746883602,0.932365765687979,0.9649012714988089,0.9972614452181175,51354,50,17233,237564,1.3134206000249833,0.33653099997900426,random_feature_search,-0.0185155924436895,-0.021108082122586302
Random_15_05,15,76.92307692307693,0.9346115786689135,0.9917268823960624,0.9291710655933939,0.959430380003323,0.9949270921653974,49429,1975,18047,236750,1.525378999998793,0.39838139998028055,random_feature_search,-0.02398648393917535,-0.026578973618072155
