group,metric,minimum,maximum,mean,median,std
feature_count_10,recall,0.6912404777136308,0.97290391959089,0.9062331974081326,0.9233978422037936,0.08443641064853585
feature_count_10,f1_score,0.8138740183314118,0.9838731854095468,0.9477417865113063,0.9599483960781503,0.05108516759071681
feature_count_10,roc_auc,0.9421340870325032,0.9974171761411744,0.9832766546504047,0.9877188359802684,0.016351307486441296
feature_count_10,false_positives,55.0,2333.0,548.4,148.5,835.9929824266868
feature_count_10,false_negatives,6904.0,78671.0,23891.5,19518.0,21514.144124014994
feature_count_10,training_time_seconds,1.28801930003101,2.19537070003571,1.6008667700109072,1.5563049000047613,0.2677182278705058
feature_count_10,test_prediction_time_seconds,0.332654999976512,0.3923408999689854,0.35938923999783584,0.3522789500129875,0.019542052018215877
feature_count_12,accuracy,0.9329035502823309,0.9770412245551124,0.9634403545383587,0.9727172674158477,0.016509513097623704
feature_count_12,precision,0.9947285721526686,0.9998580369347336,0.9990772298328057,0.9997781396002896,0.0016114255038754775
feature_count_12,recall,0.9242651993547804,0.9725977935376006,0.9569355212188526,0.9674485963335517,0.018988490771070936
feature_count_12,f1_score,0.9582032163891404,0.98601440337405,0.9774723296706787,0.9833373248433279,0.010424730477977562
feature_count_12,roc_auc,0.987404721049633,0.9991893454014822,0.994472295715864,0.9959456586616044,0.004787162688767065
feature_count_12,false_positives,35.0,1248.0,221.9,54.5,382.2371137279988
feature_count_12,false_negatives,6982.0,19297.0,10972.7,8294.0,4838.210482996557
feature_count_12,training_time_seconds,1.3589492000173775,1.882718900043983,1.5591236400185153,1.4973235500219744,0.19852139610062697
feature_count_12,test_prediction_time_seconds,0.3078637999715283,0.3680861000320874,0.33978089999291117,0.3461983000161126,0.022387361340603637
feature_count_15,accuracy,0.9238049516494068,0.970810023481308,0.9456242794765531,0.9396262585687181,0.017039363522817954
feature_count_15,precision,0.9917268823960624,0.9999143982194828,0.9983897375452923,0.9997018135388718,0.002561181967669096
feature_count_15,recall,0.9085311051542994,0.9673073073858798,0.9361715404812457,0.9291337810099805,0.02044948008686756
feature_count_15,f1_score,0.9520247248171444,0.9821906781011892,0.9661745911516995,0.9624139724089353,0.010864442128703754
feature_count_15,roc_auc,0.9809854668453633,0.998335595530018,0.9923056259537668,0.995605670888738,0.006334171478062332
feature_count_15,false_positives,21.0,1975.0,386.6,70.0,612.0441523652067
feature_count_15,false_negatives,8330.0,23306.0,16263.3,18056.5,5210.466177693594
feature_count_15,training_time_seconds,1.0659636000054888,1.525378999998793,1.2900423899991438,1.2896933000010904,0.1419617633511876
feature_count_15,test_prediction_time_seconds,0.3259917999967001,0.3983813999802805,0.34398275000276046,0.33976200001779944,0.02031760615581967
feature_count_20,accuracy,0.9495821372235884,0.9734782054924708,0.967043216710592,0.972500089810288,0.008604678982200829
feature_count_20,precision,0.99642899654803,0.9997972967494508,0.9992729568179438,0.9996949238286161,0.0010496820669947259
feature_count_20,recall,0.9396931675019722,0.968382673265384,0.961092556034804,0.967674266180528,0.010086229413470166
feature_count_20,f1_score,0.9687679546833906,0.9838099054431492,0.9797873305497935,0.9832129029915634,0.005398565372600653
feature_count_20,roc_auc,0.9928683795458796,0.9994845551293476,0.9976963843046148,0.998673545904385,0.0022945502810021055
feature_count_20,false_positives,50.0,870.0,177.9,73.5,255.86126883310985
feature_count_20,false_negatives,8056.0,15366.0,9913.5,8236.5,2569.9409958639562
feature_count_20,training_time_seconds,1.4745112000382503,2.0301084999809973,1.6950130700075534,1.6613383499789052,0.18136813598360405
feature_count_20,test_prediction_time_seconds,0.324431299988646,0.3613728000200353,0.3398015600047074,0.3386291000351775,0.011379563530389056
feature_count_30,accuracy,0.9403398421298428,0.9735696486948116,0.9640807835376111,0.9711513025757592,0.011424890003962426
feature_count_30,precision,0.996577170930372,0.9998703235427608,0.9990939238455361,0.9996748099378077,0.00125031578762467
feature_count_30,recall,0.9286137591886876,0.9691793859425346,0.957703191167871,0.9655981035883467,0.01361346098845407
feature_count_30,f1_score,0.9628309365106492,0.9838645041021602,0.9779161988442837,0.9823645699362555,0.00720959121725747
feature_count_30,roc_auc,0.9930688810125552,0.9984974179195606,0.9956210163054833,0.9953671355402087,0.001733374408035077
