experiment,feature_count,feature_reduction_pct,accuracy,precision,recall,f1_score,roc_auc,true_negatives,false_positives,false_negatives,true_positives,training_time_seconds,test_prediction_time_seconds,f1_delta_vs_baseline_65,f1_delta_vs_top_10,baseline_comparison,top_10_comparison,beats_baseline_65,beats_top_10
Random_15_01,15,76.92307692307693,0.9311595977805428,0.9997134940047552,0.9175343508754028,0.9568626969460696,0.986779017608311,51337,67,21012,233785,1.2982799999881536,0.3515966000268236,-0.026554166996428763,-0.029146656675325566,Worse than reference,Worse than reference,False,False
Random_15_02,15,76.92307692307693,0.9238049516494068,0.9998920161025588,0.9085311051542994,0.9520247248171444,0.9878869746487344,51379,25,23306,231491,1.2112015999737196,0.3369421000243164,-0.03139213912535399,-0.033984628804250794,Worse than reference,Worse than reference,False,False
Random_15_03,15,76.92307692307693,0.9383770791081676,0.9970756291189806,0.92866870489056,0.9616571803630468,0.9809854668453633,50710,694,18175,236622,1.1224480000091717,0.3259917999967001,-0.021759683579451572,-0.024352173258348375,Worse than reference,Worse than reference,False,False
Random_15_04,15,76.92307692307693,0.943556683355051,0.9997895746883602,0.932365765687979,0.9649012714988088,0.9972614452181175,51354,50,17233,237564,1.3134206000249833,0.3365309999790042,-0.01851559244368961,-0.021108082122586413,Worse than reference,Worse than reference,False,False
Random_15_05,15,76.92307692307693,0.9346115786689136,0.9917268823960624,0.929171065593394,0.959430380003323,0.9949270921653974,49429,1975,18047,236750,1.525378999998793,0.3983813999802805,-0.02398648393917535,-0.026578973618072155,Worse than reference,Worse than reference,False,False
Random_15_06,15,76.92307692307693,0.9689191086900436,0.9999143982194828,0.9627311153585012,0.9809705290140946,0.99662775198325,51383,21,9496,245301,1.4126832999754697,0.3404223000397905,-0.0024463349284037372,-0.0050388246073005405,Worse than reference,Worse than reference,False,False
Random_15_07,15,76.92307692307693,0.9673482451069724,0.9987165330910364,0.9619971977692044,0.9800130341085828,0.99832358499524,51089,315,9683,245114,1.0659636000054888,0.3391016999958083,-0.003403829833915628,-0.005996319512812431,Worse than reference,Worse than reference,False,False
Random_15_08,15,76.92307692307693,0.970810023481308,0.9975392087422849,0.9673073073858798,0.9821906781011892,0.9856450809311595,50796,608,8330,246467,1.230788599990774,0.3405780000030063,-0.0012261858413091797,-0.003818675520205983,Worse than reference,Worse than reference,False,False
Random_15_09,15,76.92307692307693,0.9408754380292684,0.9998395060164126,0.929096496426567,0.963170764454824,0.9962842496120784,51366,38,18066,236731,1.2811066000140272,0.3408356999862008,-0.020246099487674418,-0.02283858916657122,Worse than reference,Worse than reference,False,False
Random_15_10,15,76.92307692307693,0.936780088895856,0.9996901330729884,0.9243122956706712,0.9605246522099098,0.998335595530018,51331,73,19285,235512,1.439152600010857,0.3294468999956734,-0.022892211732588597,-0.0254847014114854,Worse than reference,Worse than reference,False,False
Random_20_01,20,69.23076923076923,0.957844683720824,0.99642899654803,0.9527545457756568,0.9741024745900092,0.9942131930375376,50534,870,12038,242759,2.0301084999809973,0.350211400014814,-0.009314389352489183,-0.011906879031385986,Worse than reference,Worse than reference,False,False
Random_20_02,20,69.23076923076923,0.9587068624857528,0.999690470196407,0.9506705337974936,0.9745644739489036,0.9986610123915158,51329,75,12569,242228,1.5267565000103789,0.3318958000163547,-0.008852389993594834,-0.011444879672491637,Worse than reference,Worse than reference,False,False
Random_20_03,20,69.23076923076923,0.9726878749579524,0.999549980539699,0.9676134334391692,0.9833224649169512,0.9972201773049492,51293,111,8252,246545,1.7574038000311702,0.3302354000043124,-9.439902554719826e-05,-0.0026868887044440015,Approximately equal to reference,Worse than reference,False,False
Random_20_04,20,69.23076923076923,0.9731189643404168,0.9997972967494508,0.9678920866415224,0.9835860272841666,0.9994845551293476,51354,50,8181,246616,1.6160399000509642,0.3454438999760896,0.00016916334166816593,-0.0024233263372286373,Better than reference,Worse than reference,True,False
Random_20_05,20,69.23076923076923,0.966835510008132,0.9997711988363828,0.960364525484994,0.979671745227214,0.9992093977241232,51348,56,10099,244698,1.56744150002487,0.3316030999994837,-0.003745118715284379,-0.006337608394181182,Worse than reference,Worse than reference,False,False
Random_20_06,20,69.23076923076923,0.9495821372235884,0.9996993774608252,0.9396931675019722,0.9687679546833906,0.9991157523306312,51332,72,15366,239431,1.9739122000173663,0.324431299988646,-0.014648909259107779,-0.017241398938004582,Worse than reference,Worse than reference,False,False
Random_20_07,20,69.23076923076923,0.9723123046626236,0.9987042383553544,0.967982354580313,0.9831033410661756,0.9928683795458796,51084,320,8158,246639,1.6517425999627449,0.3613728000200353,-0.0003135228763228026,-0.002906012555219606,Worse than reference,Worse than reference,False,False
Random_20_08,20,69.23076923076923,0.9729458754217,0.9997445659445586,0.9677350989218868,0.9834794470281352,0.9985617760436556,51341,63,8221,246576,1.6812803999637254,0.3443957000272348,6.258308563678039e-05,-0.002529906593260023,Approximately equal to reference,Worse than reference,True,False
Random_20_09,20,69.23076923076923,0.97291974879246,0.9996068082967504,0.96783714093965,0.983465471309841,0.998686079417254,51307,97,8195,246602,1.4745112000382503,0.3455636999569833,4.860736734257909e-05,-0.002543882311554224,Approximately equal to reference,Worse than reference,True,False
Random_20_10,20,69.23076923076923,0.9734782054924708,0.9997366352519792,0.968382673265384,0.9838099054431492,0.9989435201212532,51339,65,8056,246741,1.6709340999950657,0.3328625000431202,0.00039304150065078147,-0.002199448178246022,Better than reference,Worse than reference,True,False
Random_30_01,30,53.84615384615385,0.9403398421298428,0.9996662258594684,0.9286137591886876,0.9628309365106492,0.9984974179195606,51325,79,18189,236608,2.7712367000058293,0.3677460999460891,-0.02058592743184917,-0.023178417110745975,Worse than reference,Worse than reference,False,False
Random_30_02,30,53.84615384615385,0.9715285057854156,0.9997400561316292,0.9660357068568312,0.9825989413258176,0.9937958723631533,51340,64,8654,246143,2.0556026000413112,0.347475599963218,-0.0008179226166807885,-0.0034104122955775917,Worse than reference,Worse than reference,False,False
Random_30_03,30,53.84615384615385,0.9735696486948116,0.9998703235427608,0.9683630498004292,0.9838645041021602,0.9930688810125552,51372,32,8061,246736,2.6089426999678835,0.3891912000253796,0.0004476401596618107,-0.0021448495192349926,Better than reference,Worse than reference,True,False
Random_30_04,30,53.84615384615385,0.9719465318532596,0.9996833940161468,0.9665930132615376,0.982859765344401,0.9973607449364388,51326,78,8512,246285,2.1333486999501474,0.3671757000265643,-0.000557098598097383,-0.0031495882769941863,Worse than reference,Worse than reference,False,False
Random_30_05,30,53.84615384615385,0.9707740993661028,0.9997073075547172,0.9651605003198624,0.9821301985466934,0.9956061595666128,51332,72,8877,245920,2.5718482000520453,0.3552012000000104,-0.00128666539580502,-0.0038791550747018233,Worse than reference,Worse than reference,False,False
Random_30_06,30,53.84615384615385,0.9515416344166088,0.996577170930372,0.9450111265046292,0.9701093853870792,0.9947548722101868,50577,827,14011,240786,1.8930626999936069,0.3518096000188961,-0.013307478555419139,-0.015899968234315942,Worse than reference,Worse than reference,False,False
